1 type
117.014 -116.766 3111.75
118 -116.828 3139.14
118.001 -116.845 3139.16
118.002 -116.822 3139.19
118.003 -116.804 3139.22
118.006 -116.841 3139.3
118.009 -116.827 3139.4
118.013 -116.845 3139.5
119 -116.95 3166.92
119.001 -116.892 3166.94
119.002 -116.904 3166.96
119.003 -116.932 3166.99
119.004 -116.896 3167.03
119.008 -116.889 3167.13
119.01 -116.892 3167.19
120 -116.984 3194.7
120.001 -116.98 3194.73
120.002 -116.975 3194.75
120.004 -116.993 3194.8
120.005 -116.987 3194.83
120.01 -117.003 3194.97
120.014 -116.959 3195.1
121 -117.052 3222.48
121.001 -117.047 3222.5
121.002 -117.065 3222.54
121.003 -117.05 3222.57
121.005 -117.042 3222.63
121.011 -117.074 3222.79
121.018 -117.079 3222.97
122 type
123 type
124 type
125 type
